"Αττικής-Ωρωπός","2295030774","23.75728","38.32521","19015","Ωρωπός","2ο χλμ Λ. Σκάλας Ωρωπού-Χαλκουτσίου",""
"Βοιωτίας-Αυλίδα","2221038985","23.64086","38.36435","","Αυλίδα","Λεωφόρος Δηλεσίου",""
"Βοιωτίας-Θήβα","2262022313","23.32453","38.32473","32200","Θήβα","Σ. Καραμαγκιώλη+Αυλίδος",""
"Βοιωτίας-Οινόφυτα","2262056045","23.63401","38.31065","32011","Οινόφυτα","Π.Ο. Οινοφύτων",""
"Βοιωτίας-Σχηματάρι","2262059316","23.58502","38.34947","32009","Σχηματάρι","62ο χλμ Αθηνών-Λαμίας",""
"Ευβοίας-Αλιβέρι","2223025442","24.03135","38.40796","34500","Αλιβέρι","Ε.Ο. Χαλκίδος-Λεπούρων",""
"Ευβοίας-Ερέτρια","2229061559","23.78855","38.39112","34008","Ερέτρια","Βρατσάνου+Αριστογείτονος",""
"Ευβοίας-Ιστιαία","2226055174","23.15162","38.95847","34200","Ιστιαία","Περιφερειακή Οδός Γ. Σκαρίμπα",""
"Ιωαννίνων-Ιωάννινα","2651024756","20.85862","39.65802","","Ιωάννινα","Λεωφόρος Αρχιεπισκόπου Μακάριου+Ίκκου",""
"Κορινθίας-Άγιοι Θεόδωροι","2741060095","23.13276","37.92500","20003","Άγιοι Θεόδωροι","Π.Ε.Ο. Αθηνών-Κορίνθου",""
"Κορινθίας-Κιάτο","2742020480","22.73962","38.01032","20200","Κιάτο","Επαρ. Οδός Κιάτου-Στυμφαλίας",""
"Κορινθίας-Λέχαιο","2741088781","22.85123","37.93266","20011","Λέχαιο","Π.Ε.Ο. Πατρών-Κορίνθου",""
"Κορινθίας-Ξυλόκαστρο","2743026657","22.616633","38.079391","","Ξυλόκαστρο","37ο χλμ Π.Ε.Ο. Κορίνθου-Πατρών",""
"Λαρίσης-Λάρισα","2410661996","22.43570","39.60033","41500","Λάρισα","Λαρίσης-Φαρσάλων+Λαρίσης-Τρικάλων",""
"Λαρίσης-Φάρσαλα","2491022730","22.38532","39.30481","40300","Φάρσαλα","1ο χλμ Φαρσάλων-Λαρίσης",""
