Αττική-Αιγάλεω Άλφα Κάβα,,23.67683,37.98877,,Αιγάλεω Αττικής,Παλαιών Πατρών Γερμανού,51
Αττική-Αιγάλεω Το Τσίλικο,,23.68497,37.98955,,Αιγάλεω Αττικής,Κύπρου,9
Αττική-Αργυρούπολη Napoleon,,23.75309,37.90722,,Αργυρούπολη Αττικής,Λεωφόρος Κύπρου,94
Αττική-Αργυρούπολη Ευτυχία,,23.7503,37.91607,,Αργυρούπολη Αττικής,Γεωργίου Παπανδρέου,48
Αττική-Αργυρούπολη Κένταυρος,,23.74907,37.91137,,Αργυρούπολη Αττικής,Στέφανου Σαράφη,46
Αττική-Βύρωνας,,23.75057,37.95625,,Βύρωνας Αττικής,Καλλιπόλεως,33
Αττική-Βύρωνας Cava Cavana,,23.75169,37.958732,,Βύρωνας Αττικής,Κολοκοτρώνη,
Αττική-Βύρωνας Costa Rica,,23.75308,37.96019,16232,Βύρωνας Αττικής,Λεωφόρος Κύπρου,73
Αττική-Γλυφάδα,,23.75848,37.87994,,Γλυφάδα Αττικής,Ανδρέα Παπανδρέου,130
Αττική-Γλυφάδα - ΔΑΜΙΑΝΟΣ ΓΕΩΡΓΙΟΣ,Τηλ. 2109650928 (GMap),23.76488,37.89513,16562,Γλυφάδα,Βορείου Ηπείρου,44
Αττική-Γλυφάδα - ΚΑΒΑ ΓΟΥΛΙΑΝΟΣ,Τηλ. 2108980958 (GMap),23.75637,37.86308,16674,Γλυφάδα,Φιλικής Εταιρείας,12
Αττική-Γλυφάδα Ανθίδης,,23.75795,37.8686,,Γλυφάδα Αττικής,Γρηγορίου Λαμπράκη,77
Αττική-Γλυφάδα Η Κάβα,,23.77252,37.89503,,Γλυφάδα Αττικής,Ελευθέρου Ανθρώπου,76
Αττική-Γλυφάδα Μέλοινος,,23.7608,37.89303,,Γλυφάδα Αττικής,Δημητρίου Γούναρη,19
Αττική-Γλυφάδα Ο Κέφαλος,,23.76331,37.87515,,Γλυφάδα Αττικής,Βενεζουέλας,22
Αττική-Γλυφάδα Το Κελλάριον,,23.76749,37.89009,,Γλυφάδα Αττικής,Γεωργίου Γεννηματά,97
Αττική-Εξάρχεια Cava Halari,,23.73642,37.98456,,Εξάρχεια Αττικής,Χαριλάου Τρικούπη,54
Αττική-Εξάρχεια Cava Μάρκο,,23.73902,37.98563,,Εξάρχεια Αττικής,Καλλιδρομίου,20
Αττική-Εξάρχεια Οινότυπο,,23.73933,37.98605,,Εξάρχεια Αττικής,Χαριλάου Τρικούπη,98
Αττική-Ζωγράφος,,23.76985,37.98139,,Ζωγράφος Αττικής,Αγήνορος,2
Αττική-Ζωγράφος Βραζιλιάνος,,23.76604,37.97902,,Ζωγράφος Αττικής,Παπάγου και Ξηρογιάννη,
Αττική-Ζωγράφος Πιτταράς,,23.77226,37.9823,,Ζωγράφος Αττικής,Αργυροκάστρου,16
Αττική-Ζωγράφος Σταγόνα,,23.76687,37.98264,,Ζωγράφος Αττικής,Παπαδιαμαντοπούλου,
Αττική-Ηλιούπολη,,23.75022,37.92392,,Ηλιούπολη Αττικής,Λεωφόρος Εθνάρχου Μακαρίου,37
Αττική-Ηλιούπολη,,23.75611,37.93419,,Ηλιούπολη Αττικής,Μπουμπουλίνας,15
Αττική-Ηλιούπολη,,23.75254,37.94016,,Ηλιούπολη Αττικής,Λεωφόρος Ανδρέα Παπανδρέου,13
Αττική-Ηλιούπολη,,23.75544,37.92728,,Ηλιούπολη Αττικής,Αριστάρχου,2
Αττική-Ηλιούπολη,,23.75652,37.93267,,Ηλιούπολη Αττικής,Λεωφόρος Ελευθερίου Βενιζέλου,145
Αττική-Ηλιούπολη,,23.75854,37.94505,,Ηλιούπολη Αττικής,Διγενή,16
Αττική-Ηλιούπολη,,23.76451,37.94124,,Ηλιούπολη Αττικής,Αρχιμήδους,1
Αττική-Ηλιούπολη,,23.76453,37.93818,,Ηλιούπολη Αττικής,Αρχιμήδους,47
Αττική-Ηλιούπολη,,23.74691,37.94245,,Ηλιούπολη Αττικής,Τοσίτσα,39
Αττική-Ηλιούπολη,,23.75186,37.91938,,Ηλιούπολη Αττικής,Λουκιανού,15
Αττική-Ηλιούπολη,,23.75615,37.93273,,Ηλιούπολη Αττικής,Λεωφόρος Ειρήνης,50
Αττική-Ηλιούπολη,,23.75524,37.92744,,Ηλιούπολη Αττικής,Πλατεία Αεροπόρίας,1
Αττική-Ηλιούπολη,,23.75882,37.94613,,Ηλιούπολη Αττικής,Λεωφόρος Πατριάρχου Γρηγορίου Ε ,54
Αττική-Ηλιούπολη,,23.75594,37.94561,,Ηλιούπολη Αττικής,Αγίας Μαρίνας,8
Αττική-Ηλιούπολη Intercava,,23.75928,37.93087,,Ηλιούπολη Αττικής,Λεωφόρος Πρωτόπαπα,63
